,id,symbol,name,current_price,market_cap,market_cap_rank
0,bitcoin,btc,Bitcoin,41692.0,791154816562,1
1,ethereum,eth,Ethereum,2944.09,353378520931,2
2,tether,usdt,Tether,1.001,80441482657,3
3,binancecoin,bnb,BNB,398.71,67016297454,4
4,usd-coin,usdc,USD Coin,1.001,52892177470,5
5,ripple,xrp,XRP,0.813054,39050261482,6
6,terra-luna,luna,Terra,88.47,32433586249,7
7,solana,sol,Solana,90.07,28831338367,8
8,cardano,ada,Cardano,0.86297,27637299968,9
9,avalanche-2,avax,Avalanche,86.11,23027777286,10
10,polkadot,dot,Polkadot,19.13,20927837303,11
11,binance-usd,busd,Binance USD,1.0,17802084345,12
12,dogecoin,doge,Dogecoin,0.120961,16049842942,13
13,terrausd,ust,TerraUSD,1.004,15308385132,14
14,shiba-inu,shib,Shiba Inu,2.268e-05,12468943244,15
15,wrapped-bitcoin,wbtc,Wrapped Bitcoin,41624.0,11356988250,16
16,matic-network,matic,Polygon,1.51,10374859090,17
17,crypto-com-chain,cro,Cronos,0.410841,10371526595,18
18,dai,dai,Dai,1.0,9468350308,19
19,cosmos,atom,Cosmos Hub,28.45,8267162922,20
20,staked-ether,steth,Lido Staked Ether,2937.39,7940548933,21
21,litecoin,ltc,Litecoin,112.59,7863850040,22
22,near,near,Near,11.14,7314684745,23
23,chainlink,link,Chainlink,14.97,7002272576,24
24,tron,trx,TRON,0.061521,6255509296,25
25,ftx-token,ftt,FTX Token,44.64,6135532864,26
26,bitcoin-cash,bch,Bitcoin Cash,310.31,5897648088,27
27,leo-token,leo,LEO Token,6.23,5828369323,28
28,okb,okb,OKB,20.71,5380791289,29
29,algorand,algo,Algorand,0.762718,5054157047,30
30,stellar,xlm,Stellar,0.194725,4792188899,31
31,uniswap,uni,Uniswap,9.63,4405432637,32
32,hedera-hashgraph,hbar,Hedera,0.209336,4141513202,33
33,axie-infinity,axs,Axie Infinity,51.89,3993696473,34
34,ethereum-classic,etc,Ethereum Classic,29.45,3940554880,35
35,decentraland,mana,Decentraland,2.47,3725264000,36
36,internet-computer,icp,Internet Computer,17.26,3721921204,37
37,the-sandbox,sand,The Sandbox,3.18,3624368316,38
38,elrond-erd-2,egld,Elrond,162.27,3576144114,39
39,monero,xmr,Monero,194.06,3510765703,40
40,fantom,ftm,Fantom,1.32,3355374383,41
41,compound-ether,ceth,cETH,59.16,3352333989,42
42,waves,waves,Waves,33.48,3340252603,43
43,vechain,vet,VeChain,0.04988144,3329271629,44
44,filecoin,fil,Filecoin,17.95,3223599697,45
45,klay-token,klay,Klaytn,1.12,3082351731,46
46,osmosis,osmo,Osmosis,9.23,2984643694,47
47,theta-token,theta,Theta Network,2.96,2946690584,48
48,frax,frax,Frax,0.999392,2822400790,49
49,tezos,xtz,Tezos,3.2,2818225166,50
50,magic-internet-money,mim,Magic Internet Money,0.998104,2777877437,51
51,thorchain,rune,THORChain,8.75,2635140762,52
