,name,fee,exchange,symbol_name,last,value
0,BTC,0.0005,Zipmex,BTC/THB,1471601.0,735.8005
1,ETH,0.015,Zipmex,ETH/THB,104549.47,1568.24205
2,LTC,0.025,Zipmex,LTC/THB,4171.692,104.29230000000001
3,XRP,0.5,Zipmex,XRP/THB,28.29,14.145
4,BCH,0.005,Zipmex,BCH/THB,12131.05,60.655249999999995
5,USDT,25.0,Zipmex,USDT/THB,33.497,837.425
6,GOLD,0.3,Zipmex,GOLD/THB,2098.1,629.43
7,USDC,25.0,Zipmex,USDC/THB,33.473,836.8249999999999
8,LINK,0.5,Zipmex,LINK/THB,548.224,274.112
9,C8P,15.0,Zipmex,C8P/THB,38.885,583.275
10,ENJ,20.0,Zipmex,ENJ/THB,54.706,1094.1200000000001
11,OMG,3.0,Zipmex,OMG/THB,172.5,517.5
12,YFI,0.00045,Zipmex,YFI/THB,695341.16,312.903522
13,MKR,0.007,Zipmex,MKR/THB,68601.12,480.20784
14,SXP,7.0,Zipmex,SXP/THB,53.718,376.026
15,ZMT,20.0,Zipmex,ZMT/THB,96.1,1922.0
16,COMP,0.062,Zipmex,COMP/THB,3939.99,244.27937999999997
17,SAND,15.0,Zipmex,SAND/THB,113.759,1706.385
18,XLM,0.02,Zipmex,XLM/THB,7.165,0.1433
19,SIX,1.0,Zipmex,SIX/THB,4.699,4.699
20,AXS,0.82,Zipmex,AXS/THB,2269.73,1861.1786
21,TOK,150.0,Zipmex,TOK/THB,1.419,212.85
22,MATIC,0.1,Zipmex,MATIC/THB,54.463,5.446300000000001
23,AAVE,0.13,Zipmex,AAVE/THB,5585.96,726.1748
24,HOT,2128.0,Zipmex,HOT/THB,0.162,344.736
25,SNX,3.33,Zipmex,SNX/THB,177.23,590.1759
26,BAT,27.0,Zipmex,BAT/THB,28.521,770.067
27,FTT,0.46,Zipmex,FTT/THB,1602.0,736.9200000000001
28,UNI,0.82,Zipmex,UNI/THB,351.447,288.18654
29,1INCH,6.91,Zipmex,1INCH/THB,53.727,371.25356999999997
30,CHZ,62.0,Zipmex,CHZ/THB,7.319,453.778
31,CRV,9.47,Zipmex,CRV/THB,80.524,762.5622800000001
32,ZRX,21.0,Zipmex,ZRX/THB,19.598,411.558
33,BNT,5.47,Zipmex,BNT/THB,85.973,470.27230999999995
34,KNC,4.0,Zipmex,KNC/THB,103.675,414.7
35,BAND,2.97,Zipmex,BAND/THB,138.499,411.34203
36,ALPHA,24.0,Zipmex,ALPHA/THB,9.766,234.38400000000001
37,AFIN,100.0,Zipmex,AFIN/THB,1.88,188.0
38,GALA,150.0,Zipmex,GALA/THB,8.533,1279.9499999999998
39,SUSHI,10.0,Zipmex,SUSHI/THB,121.841,1218.4099999999999
40,GRT,90.0,Zipmex,GRT/THB,14.414,1297.26
41,SLP,800.0,Zipmex,SLP/THB,0.736,588.8
42,YLDY,1300.0,Zipmex,YLDY/THB,0.156,202.8
