,symbol,fee,price,value
0,CVC,90.0,9.91,891.9
2,ETH,0.00625,98100.0,613.125
3,KUB,0.01,322.0,3.22
4,COMP,0.21,4400.84,924.1764
5,CRV,8.71,111.46,970.8166
6,AXS,0.56,1658.58,928.8048
7,SAND,7.34,129.21,948.4014000000001
8,XRP,0.25,21.2,5.3
9,LINK,1.67,565.94,945.1198
10,KNC,4.0,67.95,271.8
11,XLM,0.02,6.78,0.1356
12,SIX,1.0,6.78,6.78
14,ALPHA,70.0,13.61,952.6999999999999
15,BAL,2.2,435.43,957.9460000000001
16,LTC,0.001,3889.04,3.88904
17,IOST,1.0,0.91,0.91
19,NEAR,0.01,415.98,4.159800000000001
20,AAVE,0.28,5426.98,1519.5544
22,JFIN,5.75,81.19,466.8425
23,BAT,32.0,29.03,928.96
24,ZIL,0.2,1.626,0.3252
25,DOT,0.1,669.29,66.929
26,SUSHI,6.61,142.23,940.1403
27,BCH,0.001,9841.0,9.841000000000001
28,ADA,1.0,36.61,36.61
29,BNB,0.001,12999.96,12.99996
30,POW,48.0,19.02,912.96
31,SCRT,0.1,183.59,18.359
32,YFI,0.0011,815499.97,897.049967
33,BTC,0.0005,1344050.0,672.025
34,OMG,5.75,162.9,936.6750000000001
35,USDT,35.0,33.24,1163.4
36,DOGE,5.0,4.76,23.799999999999997
37,USDC,35.0,33.29,1165.1499999999999
38,MKR,0.012,75421.0,905.052
39,ENJ,15.0,59.98,899.6999999999999
40,KSM,0.01,5949.95,59.4995
42,WAN,0.1,14.29,1.429
43,SNT,535.0,1.77,946.95
44,ZRX,43.0,20.75,892.25
45,ABT,35.0,6.32,221.20000000000002
46,MANA,9.98,91.66,914.7668
47,DAI,15.0,33.4,501.0
48,BAND,0.01,124.69,1.2469
49,GLM,75.0,12.3,922.5
50,UNI,2.58,362.81,936.0498
51,FTT,0.63,1455.24,916.8012
52,OCEAN,39.0,19.62,765.1800000000001
53,SNX,7.05,177.36,1250.3880000000001
55,GALA,143.0,6.62,946.66
56,GT,9.5,229.57,2180.915
58,GF,10.0,51.64,516.4
59,IMX,8.1,100.55,814.4549999999999
60,ENS,1.47,660.5,970.935
61,DYDX,13.0,210.48,2736.24
62,ILV,0.046,21261.96,978.0501599999999
68,LYXE,1.5,527.79,791.685
76,SOL,0.01,3640.0,36.4
77,AVAX,0.01,2529.98,25.2998
