,name,fee,exchange,symbol_name,last,value
0,BTC,0.0005,Zipmex,BTC/THB,1468562.48,734.28124
1,ETH,0.015,Zipmex,ETH/THB,103626.19,1554.39285
2,LTC,0.025,Zipmex,LTC/THB,4166.104,104.1526
3,XRP,0.5,Zipmex,XRP/THB,28.144,14.072
4,BCH,0.005,Zipmex,BCH/THB,12067.0,60.335
5,USDT,25.0,Zipmex,USDT/THB,33.447,836.1750000000001
6,GOLD,0.3,Zipmex,GOLD/THB,2097.1,629.13
7,USDC,25.0,Zipmex,USDC/THB,33.423,835.575
8,LINK,0.5,Zipmex,LINK/THB,541.271,270.6355
9,C8P,15.0,Zipmex,C8P/THB,39.599,593.9849999999999
10,ENJ,20.0,Zipmex,ENJ/THB,55.33,1106.6
11,OMG,3.0,Zipmex,OMG/THB,173.441,520.323
12,YFI,0.00045,Zipmex,YFI/THB,699999.99,314.9999955
13,MKR,0.007,Zipmex,MKR/THB,67300.03,471.10021
14,SXP,7.0,Zipmex,SXP/THB,52.823,369.761
15,ZMT,20.0,Zipmex,ZMT/THB,97.0,1940.0
16,COMP,0.062,Zipmex,COMP/THB,4002.66,248.16492
17,SAND,15.0,Zipmex,SAND/THB,113.499,1702.485
18,XLM,0.02,Zipmex,XLM/THB,7.152,0.14304
19,SIX,1.0,Zipmex,SIX/THB,4.65,4.65
20,AXS,0.82,Zipmex,AXS/THB,2266.7,1858.6939999999997
21,TOK,150.0,Zipmex,TOK/THB,1.419,212.85
22,MATIC,0.1,Zipmex,MATIC/THB,53.814,5.3814
23,AAVE,0.13,Zipmex,AAVE/THB,5681.83,738.6379000000001
24,HOT,2128.0,Zipmex,HOT/THB,0.172,366.01599999999996
25,SNX,3.33,Zipmex,SNX/THB,174.127,579.8429100000001
26,BAT,27.0,Zipmex,BAT/THB,28.361,765.7470000000001
27,FTT,0.46,Zipmex,FTT/THB,1601.34,736.6164
28,UNI,0.82,Zipmex,UNI/THB,350.641,287.52562
29,1INCH,6.91,Zipmex,1INCH/THB,53.667,370.83897
30,CHZ,62.0,Zipmex,CHZ/THB,7.331,454.52200000000005
31,CRV,9.47,Zipmex,CRV/THB,79.933,756.9655100000001
32,ZRX,21.0,Zipmex,ZRX/THB,19.493,409.35299999999995
33,BNT,5.47,Zipmex,BNT/THB,86.092,470.92323999999996
34,KNC,4.0,Zipmex,KNC/THB,105.283,421.132
35,BAND,2.97,Zipmex,BAND/THB,137.17,407.3949
36,ALPHA,24.0,Zipmex,ALPHA/THB,9.985,239.64
37,AFIN,100.0,Zipmex,AFIN/THB,1.87,187.0
38,GALA,150.0,Zipmex,GALA/THB,8.419,1262.8500000000001
39,SUSHI,10.0,Zipmex,SUSHI/THB,120.361,1203.6100000000001
40,GRT,90.0,Zipmex,GRT/THB,14.271,1284.39
41,SLP,800.0,Zipmex,SLP/THB,0.715,572.0
42,YLDY,1300.0,Zipmex,YLDY/THB,0.15,195.0
